month,focus_area,target_qualified_accounts,target_samples,target_quotes,target_new_pos,target_repeat_pos,primary_actions
2026-07,Foundation,12,6,4,0,0,Finalize SKUs and specs and compliance stack
2026-08,Pipeline build,18,9,7,1,0,Outbound launch and first buyer meetings
2026-09,Pipeline build,24,12,9,1,0,Sample cycle acceleration and quote discipline
2026-10,Conversion,30,15,11,2,1,Close first repeatable buyer relationships
2026-11,Conversion,36,18,13,2,1,Tight follow-up and technical closure
2026-12,Scale start,42,21,15,3,2,Expand active countries and improve conversion
2027-01,Scale,48,24,17,3,3,Stabilize operations and repeat-order cadence
2027-02,Scale,54,26,19,4,4,Add selected phase 2 products for existing buyers
2027-03,Scale,60,28,21,4,5,Increase key-account coverage and bundle offers
2027-04,Acceleration,66,30,23,5,6,Improve margin mix with blends and premium grades
2027-05,Acceleration,72,32,25,5,7,Trade show and broker channel expansion
2027-06,Acceleration,78,34,27,6,8,Annual review and year-2 market expansion prep
